"V1","V2","V3","V4","V5"
0,101,6,185,127
1,157,137,73,151
6,127,99,0,184
7,NA,NA,NA,NA
10,36,NA,NA,NA
11,58,178,13,149
12,13,149,11,58
13,149,12,11,58
17,140,173,192,111
22,113,141,130,43
23,172,154,NA,NA
25,103,141,176,113
26,82,216,27,79
27,79,216,26,82
28,103,130,176,113
30,32,33,26,82
31,136,135,74,152
32,33,30,216,NA
33,32,30,27,79
36,37,10,NA,NA
37,36,NA,NA,NA
38,NA,NA,NA,NA
39,104,105,215,119
40,178,11,58,26
43,209,176,130,141
44,171,138,184,214
45,57,138,171,25
49,102,50,72,217
50,217,70,49,102
52,66,59,187,95
57,45,214,138,101
58,11,178,13,149
59,187,52,66,95
60,NA,NA,NA,NA
61,144,194,142,62
62,198,142,61,144
63,67,NA,NA,NA
64,NA,NA,NA,NA
66,52,59,187,95
67,63,NA,NA,NA
70,50,217,72,49
71,75,89,90,76
72,70,49,102,50
73,151,74,152,135
74,152,73,151,31
75,71,76,88,89
76,88,75,92,71
78,197,94,195,89
79,27,216,26,82
80,99,127,6,101
82,26,216,27,79
88,76,75,92,71
89,90,71,92,75
90,89,71,92,75
92,76,88,89,90
94,78,197,71,195
95,97,59,187,52
96,180,175,174,NA
97,95,59,187,52
99,80,6,101,127
101,0,99,80,6
102,49,50,72,217
103,176,28,25,209
104,39,105,215,119
105,39,104,215,119
106,109,119,120,164
109,106,119,120,164
110,92,195,89,90
111,17,NA,NA,NA
113,22,25,28,176
119,120,164,165,39
120,119,164,165,39
127,6,80,167,99
130,209,28,43,22
131,153,154,NA,NA
133,163,159,158,160
135,31,136,73,151
136,31,135,74,152
137,1,157,135,NA
138,45,44,141,57
139,189,218,219,190
140,173,192,17,NA
141,209,25,43,22
142,198,62,144,61
143,169,219,NA,NA
144,61,194,142,198
149,13,12,11,58
151,73,74,152,135
152,74,73,151,31
153,131,154,NA,NA
154,131,153,172,23
157,1,137,73,151
158,133,161,163,159
159,133,163,158,160
160,161,133,163,162
161,160,158,133,163
162,160,76,88,161
163,133,159,158,160
164,119,120,165,39
165,119,120,164,39
167,184,127,185,6
168,NA,NA,NA,NA
169,143,139,189,218
171,214,44,45,6
172,23,154,NA,NA
173,192,140,17,NA
174,96,180,175,NA
175,96,180,174,NA
176,103,43,28,25
177,133,89,90,110
178,40,11,58,26
180,96,175,174,NA
184,167,185,6,127
185,184,0,167,101
187,59,52,66,95
189,139,218,190,219
190,219,206,189,139
192,173,140,17,NA
194,144,61,142,198
195,197,78,110,94
197,78,195,94,110
198,62,142,144,61
200,NA,NA,NA,NA
201,202,31,136,NA
202,201,135,NA,NA
205,NA,NA,NA,NA
206,219,190,218,139
209,43,130,141,103
210,NA,NA,NA,NA
214,171,57,99,44
215,39,104,105,119
216,27,79,26,82
217,50,70,49,102
218,139,189,206,219
219,190,206,139,189
